Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases
Afghanistan,36263,1269,25198,9796,106,10,18,3.5,69.49
Albania,4880,144,2745,1991,117,6,63,2.95,56.25
Algeria,27973,1163,18837,7973,616,8,749,4.16,67.34
Andorra,907,52,803,52,10,0,0,5.73,88.53
Angola,950,41,242,667,18,1,0,4.32,25.47
Antigua and Barbuda,86,3,65,18,4,0,5,3.49,75.58
Argentina,167416,3059,72575,91782,4890,120,2057,1.83,43.35
Armenia,37390,711,26665,10014,73,6,187,1.9,71.32
Australia,15303,167,9311,5825,368,6,137,1.09,60.84
Austria,20558,713,18246,1599,86,1,37,3.47,88.75
Azerbaijan,30446,423,23242,6781,396,6,558,1.39,76.34
Bahamas,382,11,91,280,40,0,0,2.88,23.82
Bahrain,39482,141,36110,3231,351,1,421,0.36,91.46
Bangladesh,226225,2965,125683,97577,2772,37,1801,1.31,55.56
Barbados,110,7,94,9,0,0,0,6.36,85.45
Belarus,67251,538,60492,6221,119,4,67,0.8,89.95
Belgium,66428,9822,17452,39154,402,1,14,14.79,26.27
Belize,48,2,26,20,0,0,0,4.17,54.17
Benin,1770,35,1036,699,0,0,0,1.98,58.53
Bhutan,99,0,86,13,4,0,1,0.0,86.87
Bolivia,71181,2647,21478,47056,1752,64,309,3.72,30.17
Bosnia and Herzegovina,10498,294,4930,5274,731,14,375,2.8,46.96
Botswana,739,2,63,674,53,1,11,0.27,8.53
Brazil,2442375,87618,1846641,508116,23284,614,33728,3.59,75.61
Brunei,141,3,138,0,0,0,0,2.13,97.87
Bulgaria,10621,347,5585,4689,194,7,230,3.27,52.58
Burkina Faso,1100,53,926,121,14,0,6,4.82,84.18
Burma,350,6,292,52,0,0,2,1.71,83.43
Burundi,378,1,301,76,17,0,22,0.26,79.63
Cabo Verde,2328,22,1550,756,21,0,103,0.95,66.58
Cambodia,226,0,147,79,1,0,4,0.0,65.04
Cameroon,17110,391,14539,2180,402,6,0,2.29,84.97
Canada,116458,8944,0,107514,682,11,0,7.68,0.0
Central African Republic,4599,59,1546,2994,0,0,0,1.28,33.62
Chad,922,75,810,37,7,0,0,8.13,87.85
Chile,347923,9187,319954,18782,2133,75,1859,2.64,91.96
China,86783,4656,78869,3258,213,4,7,5.37,90.88
Colombia,257101,8777,131161,117163,16306,508,11494,3.41,51.02
Comoros,354,7,328,19,0,0,0,1.98,92.66
Congo (Brazzaville),3200,54,829,2317,162,3,73,1.69,25.91
Congo (Kinshasa),8844,208,5700,2936,13,4,190,2.35,64.45
Costa Rica,15841,115,3824,11902,612,11,88,0.73,24.14
